AI,ModelVersion,14,ApprovalStatus,varchar,20,0,0,0
AI,ModelVersion,15,ApprovedByProviderID,int,4,10,0,1
AI,ModelVersion,16,ApprovedDateTimeUTC,datetime2,7,23,3,1
AI,ModelVersion,17,EffectiveStartDateTimeUTC,datetime2,7,23,3,1
AI,ModelVersion,18,EffectiveEndDateTimeUTC,datetime2,7,23,3,1
AI,ModelVersion,19,CreatedDateUTC,datetime2,7,23,3,0
AI,Prediction,1,PredictionID,bigint,8,19,0,0
AI,Prediction,2,ModelVersionID,int,4,10,0,0
AI,Prediction,3,PatientID,int,4,10,0,0
AI,Prediction,4,EncounterID,int,4,10,0,1
AI,Prediction,5,PredictionDateTimeUTC,datetime2,7,23,3,0
AI,Prediction,6,PredictionType,varchar,40,0,0,0
AI,Prediction,7,PredictedClass,nvarchar,200,0,0,1
AI,Prediction,8,PredictedValue,decimal,9,19,6,1
AI,Prediction,9,ProbabilityScore,decimal,5,9,8,1
AI,Prediction,10,RiskScore,decimal,5,9,6,1
AI,Prediction,11,ThresholdUsed,decimal,5,9,8,1
AI,Prediction,12,PredictionStatus,varchar,20,0,0,0
AI,Prediction,13,InputSnapshotJSON,nvarchar,-1,0,0,1
AI,Prediction,14,ExplanationJSON,nvarchar,-1,0,0,1
AI,Prediction,15,CorrelationID,uniqueidentifier,16,0,0,0
AI,Prediction,16,CreatedDateUTC,datetime2,7,23,3,0
AI,PredictionOutcome,1,PredictionOutcomeID,bigint,8,19,0,0
AI,PredictionOutcome,2,PredictionID,bigint,8,19,0,0
AI,PredictionOutcome,3,OutcomeType,varchar,40,0,0,0
AI,PredictionOutcome,4,ActualClass,nvarchar,200,0,0,1
AI,PredictionOutcome,5,ActualValue,decimal,9,19,6,1
AI,PredictionOutcome,6,OutcomeDateTimeUTC,datetime2,7,23,3,0
AI,PredictionOutcome,7,OutcomeSource,varchar,50,0,0,0
AI,PredictionOutcome,8,IsFinalOutcome,bit,1,1,0,0
AI,PredictionOutcome,9,VerifiedByProviderID,int,4,10,0,1
AI,PredictionOutcome,10,VerifiedDateTimeUTC,datetime2,7,23,3,1
AI,PredictionOutcome,11,Notes,nvarchar,2000,0,0,1
AI,PredictionOutcome,12,CreatedDateUTC,datetime2,7,23,3,0
AI,PredictionOutcome,13,ModifiedDateUTC,datetime2,7,23,3,0
Billing,AccountBalanceHistory,1,AccountBalanceHistoryID,int,4,10,0,0
Billing,AccountBalanceHistory,2,PatientAccountID,int,4,10,0,0
Billing,AccountBalanceHistory,3,PatientID,int,4,10,0,0
Billing,AccountBalanceHistory,4,SnapshotDate,date,3,10,0,0
Billing,AccountBalanceHistory,5,CurrentBalance,decimal,9,18,2,0
Billing,AccountBalanceHistory,6,Balance0To30Days,decimal,9,18,2,0
Billing,AccountBalanceHistory,7,Balance31To60Days,decimal,9,18,2,0
Billing,AccountBalanceHistory,8,Balance61To90Days,decimal,9,18,2,0
Billing,AccountBalanceHistory,9,Balance91To120Days,decimal,9,18,2,0
